 Brainwave Value
 2047 
 228 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 1979 
 2047 
 -2048 
 -2048 
 -409 
 2047 
 2047 
 -366 
 -2048 
 -2048 
 -219 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 1942 
 -2048 
 -2048 
 -2048 
 2047 
 -917 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1307 
 -2048 
 -2048 
 884 
 2047 
 2047 
 -1639 
 -2048 
 -2048 
 834 
 2047 
 -2048 
 -2048 
 -1442 
 2047 
 2047 
 837 
 -2048 
 -2048 
 -1562 
 2047 
 -2028 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 260 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 1948 
 2047 
 -2048 
 -2048 
 -359 
 2047 
 2047 
 -499 
 -2048 
 -2048 
 -301 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 1992 
 -2048 
 -2048 
 -2048 
 2047 
 -883 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1428 
 -2048 
 -2048 
 935 
 2047 
 2047 
 -1580 
 -2048 
 -2048 
 721 
 2047 
 -2048 
 -2048 
 -1386 
 2047 
 2047 
 800 
 -2048 
 -2048 
 -1673 
 2047 
 -2037 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 267 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 1842 
 2047 
 -2048 
 -2048 
 -449 
 2047 
 2047 
 -373 
 -2048 
 -2048 
 -236 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 2003 
 -2048 
 -2048 
 -2048 
 2047 
 -814 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1452 
 -2048 
 -2048 
 984 
 2047 
 2047 
 -1505 
 -2048 
 -2048 
 660 
 2047 
 -2048 
 -2048 
 -1529 
 2047 
 2047 
 961 
 -2048 
 -2048 
 -1545 
 2047 
 -1954 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 363 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 1819 
 2047 
 -2048 
 -2048 
 -481 
 2047 
 2047 
 -264 
 -2048 
 -2048 
 -483 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 2018 
 -2048 
 -2048 
 -2048 
 2047 
 -845 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1504 
 -2048 
 -2048 
 823 
 2047 
 2047 
 -1703 
 -2048 
 -2048 
 707 
 2047 
 -2048 
 -2048 
 -1442 
 2047 
 2047 
 1085 
 -2048 
 -2048 
 -1464 
 2047 
 -1895 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 402 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 1911 
 2047 
 -2048 
 -2048 
 -358 
 2047 
 2047 
 -147 
 -2048 
 -2048 
 -403 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 2009 
 -2048 
 -2048 
 -2048 
 2047 
 -774 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1532 
 -2048 
 -2048 
 795 
 2047 
 2047 
 -1419 
 -2048 
 -2048 
 643 
 2047 
 -2048 
 -2048 
 -1530 
 2047 
 2047 
 1009 
 -2048 
 -2048 
 -1672 
 2047 
 -1901 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 407 
 -2048 
 -2048 
 2040 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 1661 
 2047 
 -2048 
 -2048 
 -483 
 2047 
 2047 
 -110 
 -2048 
 -2048 
 -443 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
